Priority,Cells,Area_km2,Study_Area_Percent,Mean_Median_LST,Maximum_LST,Mean_Heat_Score,Estimated_Trees
Low,660,660.0,50.0,35.224241068663886,48.976472822,38.970705312250004,294084
Moderate,330,330.0,25.0,36.2539903233732,47.903351262800015,47.80828147813086,348515
High,198,198.0,15.0,37.11547370319093,48.86487446900001,51.33688850182388,353262
Very High,132,132.0,10.0,40.9778445245648,48.78856717249998,63.799921095604255,366644
