system:index,Air_Temp,LST,L_NDVI,NDBI,NDWI,Relative_Humidity,S2_NDVI,Wind_Speed,.geo
0,18.77092323303225,34.893888619999984,0.3753957595735157,0.05800639932216241,-0.4619097877052443,62.60771955682329,0.29446234983885144,2.9235547705381513,"{""type"":""Point"",""coordinates"":[77.45762073341923,12.89949222951703]}"
1,18.178475316365564,29.291753840000013,0.18140210679258992,0.05159672407041752,-0.22692390601422716,64.33165852586,0.2157838606469961,3.0367836134203143,"{""type"":""Point"",""coordinates"":[77.63233029138674,13.0146625142289]}"
2,18.77092323303225,32.56963502000002,0.559444213211006,-0.10430071114121234,-0.5446977605066712,62.60771955682329,0.5156422524843578,2.9235547705381513,"{""type"":""Point"",""coordinates"":[77.54716437082216,12.902916753028393]}"
3,18.77092323303225,32.10820232000003,0.40101260686322415,-0.015515224439319466,-0.41624171460001663,62.60771955682329,0.4889663182346109,2.9235547705381513,"{""type"":""Point"",""coordinates"":[77.47714446512151,12.949327914059925]}"
4,18.543546930948935,29.45581880000003,0.29921856968577915,-0.0954075391971533,-0.3464241374990033,62.90115217725584,0.0958904109589041,2.984148439590686,"{""type"":""Point"",""coordinates"":[77.54653933627239,12.998047788570178]}"
5,18.574796930948935,31.94755538000004,0.17628177793628522,0.036466404166137445,-0.22944150918932948,63.63319549091134,0.1191512513601741,2.94861928655015,"{""type"":""Point"",""coordinates"":[77.62299800977695,12.829081993271668]}"
6,18.178475316365564,31.48954070000002,0.22016276624742043,-0.05265810027714787,-0.28424762802516446,64.33165852586,0.052695336159903086,3.0367836134203143,"{""type"":""Point"",""coordinates"":[77.64469395422346,13.03954022773216]}"
7,18.178475316365564,30.843534920000025,0.253564517377506,0.042096235175820056,-0.32820470761912574,64.33165852586,0.19310876832090512,3.0367836134203143,"{""type"":""Point"",""coordinates"":[77.61853516282638,13.012492608257405]}"
8,18.12785682678225,27.37766264000004,0.7649528218608391,-0.470755549743355,-0.7101529162429553,65.54639981076248,0.8012713282034125,3.042692733145983,"{""type"":""Point"",""coordinates"":[77.73012276009469,13.028764121322912]}"
9,18.178475316365564,29.67115406000005,0.18953164781810647,0.03480415371205416,-0.2225187554875558,64.33165852586,0.08982925018559762,3.0367836134203143,"{""type"":""Point"",""coordinates"":[77.63361663113727,13.018080429308773]}"
10,18.178475316365564,29.797620800000004,0.5205529878522639,-0.19310632562020605,-0.5288070074433523,64.33165852586,0.6618505994466646,3.0367836134203143,"{""type"":""Point"",""coordinates"":[77.58296006247107,13.00919856184644]}"
11,18.12785682678225,33.01397761999999,0.30925816245404536,0.10786470282396307,-0.38605539205440914,65.54639981076248,0.25924491771539204,3.042692733145983,"{""type"":""Point"",""coordinates"":[77.65427798533766,13.00042781697622]}"
12,18.543546930948935,26.769255079999994,0.8371251721677371,-0.4191476679122415,-0.77836856647176,62.90115217725584,0.8135474860335196,2.984148439590686,"{""type"":""Point"",""coordinates"":[77.51095528624231,12.95062406046012]}"
