Feature,April17_Mean,Surrounding_Mean,Difference,Percent_Difference,Z_Score,Absolute_Z
Daily_Precipitation,0.0017195939676639003,0.0008529457753284896,0.0008666481923354108,101.60648160800656,154.5044828828001,154.5044828828001
Air_Temp_3Day,28.83791502680224,26.221316184136953,2.6165988426652866,9.978899702404123,3.610129957300737,3.610129957300737
Relative_Humidity,38.171681895778015,46.42151411364451,-8.249832217866498,-17.7715707369434,-2.4666464411152877,2.4666464411152877
Air_Temp,28.858895073602586,26.333921479841404,2.5249735937611817,9.588293166644576,2.0437821894860093,2.0437821894860093
Wind_Speed,2.459912125362715,1.813278794448077,0.6466333309146379,35.66099889848759,1.3231169868866937,1.3231169868866937
Air_Temp_7Day,28.538760037342758,26.577421000353823,1.9613390369889352,7.379719187060416,1.2925567851826119,1.2925567851826119
Cloud_Cover,50.20529168860643,23.68587005840869,26.51942163019774,111.96304617394925,1.0870943468433314,1.0870943468433314
Precip_3Day,0.0025796987414620992,4.154254030322025,-4.151674331580563,-99.93790223894273,-0.9415136187643331,0.9415136187643331
Precip_7Day,0.9006269575377152,4.194853536545649,-3.2942265790079337,-78.53019301647996,-0.7397467456630045,0.7397467456630045
Soil_Moisture,0.2130813913897049,0.2358189193290886,-0.022737527939383717,-9.641943913606516,-0.3769163048982874,0.3769163048982874
LST,39.30092165223142,40.129688687044116,-0.8287670348126923,-2.065221689796612,-0.22359076938151612,0.22359076938151612
Distance_To_Water,7315.1324376197035,6589.900134337559,725.2323032821441,11.005209312706029,0.17742393850334345,0.17742393850334345
NDBI,-0.012448537061627601,0.0071472077701043605,-0.019595744831731963,-274.17343194775816,-0.17302158962136271,0.17302158962136271
NDWI,-0.40015773013588257,-0.3810271048925861,-0.01913062524329645,-5.020804293880745,-0.15985740210789992,0.15985740210789992
S2_NDVI,0.2934943427151367,0.26488236117993996,0.02861198153519673,10.801769286464504,0.15551910066057242,0.15551910066057242
L_NDVI,0.3384849674446178,0.31883026741715603,0.01965470002746178,6.164628028161976,0.1456063584663841,0.1456063584663841
Solar_Radiation,24.633846253443522,24.80889492810969,-0.17504867466616858,-0.7055883592292935,-0.13408490498366782,0.13408490498366782
Elevation,880.6556473829202,884.3881328252586,-3.7324854423384295,-0.4220415566200175,-0.09931704778954265,0.09931704778954265
Albedo,0.16394354196969696,0.16148334732035927,0.0024601946493376936,1.52349743187886,0.07447683875407445,0.07447683875407445
Built_Probability,0.5383772512701579,0.5224704637373309,0.015906787532827038,3.044533353913014,0.06138083026651832,0.06138083026651832
Tree_Probability,0.08046970480845175,0.07793698955386079,0.0025327152545909642,3.2496960289191725,0.022454118100964503,0.022454118100964503
