Grid_ID,Latitude,Longitude,Area_Name,Neighbourhood,Suburb,Town,City,City_District,County,State_District,Postcode,Display_Name
8405_1453,13.05695292849443,77.48745612832626,Madhavara,,Madhavara,,,,Bangalore North,Bengaluru Urban,560073,"Anchepalya, Madhavara, Chikkabidarakallu, Bangalore North, Bengaluru Urban, Karnataka, 560073, India"
8405_1454,13.06593604024434,77.48745612832626,Madhavara,,Madhavara,,,,Bangalore North,Bengaluru Urban,560073,"Anchepalya, Madhavara, Chikkabidarakallu, Bangalore North, Bengaluru Urban, Karnataka, 560073, India"
8405_1455,13.074919151994251,77.48745612832626,Madhavara,,Madhavara,,,,Bangalore North,Bengaluru Urban,560073,"Anchepalya, Madhavara, Chikkabidarakallu, Bangalore North, Bengaluru Urban, Karnataka, 560073, India"
8405_1456,13.08390226374416,77.48745612832626,Chikka Banavara,,Chikka Banavara,,,,Bangalore North,Bengaluru Urban,560107,"Chikka Banavara, Bangalore North, Bengaluru Urban, Karnataka, 560107, India"
8405_1457,13.09288537549407,77.48745612832626,Soladevanahalli,,,,,,Yelahanka taluku,Bengaluru Urban,560107,"Soladevanahalli, Yelahanka taluku, Bengaluru Urban, Karnataka, 560107, India"
8405_1458,13.101868487243982,77.48745612832626,Kumbarahalli,,,,,,Yelahanka taluku,Bengaluru Urban,560088,"Kumbarahalli, Yelahanka taluku, Bengaluru Urban, Karnataka, 560088, India"
8405_1459,13.110851598993891,77.48745612832626,Hurali Chikkanahalli,,,,,,Yelahanka taluku,Bengaluru Urban,560088,"Hurali Chikkanahalli, Yelahanka taluku, Bengaluru Urban, Karnataka, 560088, India"
8405_1460,13.119834710743802,77.48745612832626,ತಿರುಮಲಪುರ,,,,,,Yelahanka taluku,Bengaluru Urban,560089,"ತಿರುಮಲಪುರ, Yelahanka taluku, Bengaluru Urban, Karnataka, 560089, India"
8405_1461,13.128817822493712,77.48745612832626,ತಿರುಮಲಪುರ,,,,,Hesaraghatta,Yelahanka taluku,Bengaluru Urban,,"Hesaraghatta, ತಿರುಮಲಪುರ, Yelahanka taluku, Bengaluru Urban, Karnataka, India"
8405_1462,13.13780093424362,77.48745612832626,Hesaraghatta,,,,,,Yelahanka taluku,Bengaluru Urban,560088,"Hesaraghatta, Yelahanka taluku, Bengaluru Urban, Karnataka, 560088, India"
8405_1463,13.146784045993533,77.48745612832626,Hesaraghatta,,,,,,Yelahanka taluku,Bengaluru Urban,560088,"Hesaraghatta, Yelahanka taluku, Bengaluru Urban, Karnataka, 560088, India"
8406_1424,12.796442687747035,77.49667478945626,Kaggalipura,,,,,,Bangalore South,Bengaluru Urban,560116,"Kaggalipura, Bangalore South, Bengaluru Urban, Karnataka, 560116, India"
8406_1425,12.805425799496946,77.49667478945626,Kaggalipura,,,,,,Bangalore South,Bengaluru Urban,560116,"Kaggalipura, Bangalore South, Bengaluru Urban, Karnataka, 560116, India"
8406_1426,12.814408911246856,77.49667478945626,Uttari,,,,,Uttari,Bangalore South,Bengaluru Urban,,"Uttari, Bangalore South, Bengaluru Urban, Karnataka, India"
8406_1427,12.823392022996766,77.49667478945626,Uttari,,,,,Uttari,Bangalore South,Bengaluru Urban,,"Uttari, Bangalore South, Bengaluru Urban, Karnataka, India"
8406_1428,12.832375134746677,77.49667478945626,Badamanavarthekaval,,,,,Badamanavarthekaval,Bangalore South,Bengaluru Urban,,"Badamanavarthekaval, Bangalore South, Bengaluru Urban, Karnataka, India"
8406_1429,12.841358246496586,77.49667478945626,Agara,,,,,,Bangalore South,Bengaluru Urban,560062,"Agara, Bangalore South, Bengaluru Urban, Karnataka, 560062, India"
8406_1430,12.850341358246496,77.49667478945626,Vaddarapalya,,,,,,Bangalore South,Bengaluru Urban,560083,"Vaddarapalya, Bangalore South, Bengaluru Urban, Karnataka, 560083, India"
8406_1431,12.859324469996409,77.49667478945626,Vaddarapalya,,,,,,Bangalore South,Bengaluru Urban,560083,"Vaddarapalya, Bangalore South, Bengaluru Urban, Karnataka, 560083, India"
8406_1432,12.868307581746317,77.49667478945626,Badamanavarthekaval,,,,,Badamanavarthekaval,Bangalore South,Bengaluru Urban,,"Badamanavarthekaval, Bangalore South, Bengaluru Urban, Karnataka, India"
8406_1433,12.877290693496228,77.49667478945626,Talagattapura,,Talagattapura,,Bengaluru,Bengaluru South City Corporation,Bangalore South,Bengaluru Urban,,"Talagattapura, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, India"
8406_1434,12.886273805246136,77.49667478945626,Hemmigepura,,Hemmigepura,,Bengaluru,Bengaluru West City Corporation,Bangalore South,Bengaluru Urban,,"Hemmigepura, Bengaluru West City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, India"
8406_1435,12.895256916996049,77.49667478945626,Hemmigepura,,Hemmigepura,,Bengaluru,Bengaluru West City Corporation,Bangalore South,Bengaluru Urban,,"Hemmigepura, Bengaluru West City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, India"
8406_1436,12.904240028745958,77.49667478945626,Hemmigepura,,Hemmigepura,,Bengaluru,Bengaluru West City Corporation,Bangalore South,Bengaluru Urban,,"Hemmigepura, Bengaluru West City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, India"
8406_1437,12.913223140495868,77.49667478945626,Mylasandra,,Mylasandra,,Bengaluru,Bengaluru West City Corporation,Bangalore South,Bengaluru Urban,560059,"Mylasandra, Bengaluru West City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560059, India"
8406_1438,12.922206252245775,77.49667478945626,Mylasandra,,Mylasandra,,Bengaluru,Bengaluru West City Corporation,Bangalore South,Bengaluru Urban,560059,"Mylasandra, Bengaluru West City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560059, India"
