Model,Features,MAE,RMSE,R2
V5 Overpass,25,2.2640897461512184,2.9842488179563578,0.6286901988759506
V3 Atmospheric History,15,2.4238149621477882,3.1133785475425495,0.5958615148369613
V4 Spatial,20,2.4017630570134925,3.118567390101163,0.5945132955905699
