Albedo,Built_Probability,Center_Latitude,Center_Longitude,Distance_To_Water,Elevation,Grid_ID,Grid_X,Grid_Y,Historical_Samples,Historical_Unique_Dates,L_NDVI,NDBI,NDWI,Observation_Support,S2_NDVI,Tree_Probability,date,Landsat_Acquisition_Time,sentinel_date
0.1304250554974898,0.07971229303547242,12.796442687747035,77.4505814838062,6042.669080967167,753.5899284146644,8401_1424,8401,1424,1,1,0.389972743401524,0.10117056831413827,-0.49325641619211696,Limited,0.3506969428161182,0.3030218183811812,2026-01-27,2026-01-27 05:10:56,2026-01-22
0.136376495257093,0.1303613784396914,12.796442687747035,77.45980014493621,3847.895208580443,764.1819255026119,8402_1424,8402,1424,1,1,0.3813760963253589,0.09512716662174954,-0.4915980084300166,Limited,0.35814630813482345,0.21817670059440072,2026-01-27,2026-01-27 05:10:56,2026-01-22
0.13926296869780674,0.0741374004726458,12.796442687747035,77.46901880606623,3725.261681983037,775.7583751989877,8403_1424,8403,1424,0,0,0.37484085117340393,0.12294826128803797,-0.4956674855455376,Prediction Only,0.34447525338322765,0.22938638664758618,2026-01-27,2026-01-27 05:10:56,2026-01-22
0.1379478463169599,0.2063850616370367,12.796442687747035,77.47823746719624,5772.207489303347,771.6033426677541,8404_1424,8404,1424,1,1,0.42274291876681935,0.07399582245212113,-0.5136741105711825,Limited,0.39424992971015166,0.20974989710494946,2026-01-27,2026-01-27 05:10:56,2026-01-22
0.13210732350973817,0.2081842418740632,12.796442687747035,77.48745612832626,6771.292933554754,758.4543156745427,8405_1424,8405,1424,1,1,0.46019150062171565,0.020906319955456297,-0.5303170106036902,Limited,0.4430636336119304,0.29793383733520734,2026-01-27,2026-01-27 05:10:56,2026-01-22
0.12980707770920574,0.3261098477318537,12.796442687747035,77.49667478945626,6600.290000623019,763.6438744216551,8406_1424,8406,1424,2,2,0.4458161232571343,0.04005903138254416,-0.5164054525616394,Limited,0.42076225476652124,0.18433918572852143,2026-01-27,2026-01-27 05:10:56,2026-01-22
0.13757525488819597,0.5613327390538175,12.796442687747035,77.50589345058627,7349.170017393121,746.0842044072982,8407_1424,8407,1424,0,0,0.3983165022336811,0.027336498788426842,-0.4609117518600995,Prediction Only,0.36237853122942865,0.07901345305558678,2026-01-27,2026-01-27 05:10:56,2026-01-22
0.13577290854313437,0.46294431096719396,12.796442687747035,77.51511211171629,5772.607209460746,740.1585607562125,8408_1424,8408,1424,0,0,0.45935622488000405,-0.00015202250959172388,-0.5127235149882107,Prediction Only,0.4298101027349868,0.14142516535786895,2026-01-27,2026-01-27 05:10:56,2026-01-22
0.14065214858980374,0.4918397904502458,12.796442687747035,77.5243307728463,3766.1421811083583,756.4850078868545,8409_1424,8409,1424,0,0,0.413958618073412,0.01646722144817485,-0.48071164685324314,Prediction Only,0.3716764843126032,0.10486026806368309,2026-01-27,2026-01-27 05:10:56,2026-01-22
0.1265547768956645,0.2616072874373911,12.796442687747035,77.53354943397632,2306.329132973027,780.1155539329671,8410_1424,8410,1424,0,0,0.4375947543295654,0.037572167463658226,-0.5131932968833751,Prediction Only,0.4059621597673755,0.2653786714678791,2026-01-27,2026-01-27 05:10:56,2026-01-22
