Cluster_ID,Dominant_Locality,Localities,Center_Latitude,Center_Longitude,Total_Cells,Cluster_Area_km2,High_Cells,Very_High_Cells,Mean_Median_LST,Maximum_LST,Mean_Heat_Score,Maximum_Heat_Score,Mean_Hot_Frequency,Mean_Tree_Probability,Mean_Built_Probability,Average_Greening_Percent,Total_Trees_To_Plant,Tree_Canopy_Target_m2,Non_Tree_Cooling_Area_m2,Strong_Cells,Moderate_Reliability_Cells,Limited_Cells,Model_Only_Cells,Dominant_Planning_Reliability,Mean_Hot_Frequency_Percent,Mean_Tree_Probability_Percent,Mean_Built_Probability_Percent,Cluster_Rank_Score,Cluster_Rank,Area_Score,Mean_Heat_Score_Normalized,Maximum_Heat_Score_Normalized,Very_High_Share,Very_High_Count_Score,Hot_Frequency_Score,Evidence_Score,Final_Intensity_Score,Planning_Significance_Score,Intensity_Rank,Planning_Rank,Planning_Category
2,Dr. Shivaram Karanth Layout,"Dr. Shivaram Karanth Layout, Kambipura, Andrahalli, Bangarappa Nagara, Nada prabhu Kempegowda Nagara, Rajarajeshwari Nagara, Subramanyapura, Tagachaguppe",12.979783047241266,77.51765268761828,127,127,65,62,38.85688708125631,48.32549382290004,57.75355757291149,79.03792983813743,0.4107330333708286,0.0379828786594037,0.6523322661579014,14.117689128184482,265347,7958524.278647038,9970940.914147254,13,69,42,3,Moderate,41.07330333708287,3.798287865940379,65.23322661579014,58.84513379854063,23,1.0,0.3227684543241035,1.0,0.4881889763779528,1.0,0.33273636848025573,0.6468503937007873,51.88830018823856,76.2512367082925,14,1,Critical
34,K Narayanapura,"K Narayanapura, Kempapura, Byrathi, HBR Layout, Sampigehalli, Kalyanagar, Babusab Palya, Horamavu",13.042441747975346,77.6531556527401,39,39,26,13,38.07717938305771,47.79378663170003,55.80303494220118,75.91377389442549,0.3765262515262515,0.0332970773076127,0.6829495822514917,13.2394280003594,71720,2151001.087634305,3012375.8325058604,10,15,14,0,Moderate,37.65262515262515,3.3297077307612777,68.29495822514917,54.95366756145527,32,0.7203213491478938,0.24633901867162186,0.8941739187247626,0.3333333333333333,0.6369711592540337,0.27872566030460766,0.6884615384615385,42.78242192107609,57.88945520785902,25,2,Critical
21,Shettihalli,Shettihalli,13.05695292849443,77.53354943397632,1,1,0,1,42.86838563150003,47.08762369970003,75.03689147162082,75.03689147162082,0.8333333333333334,0.0477623271290212,0.6442504564183764,17.529106064733945,2922,87645.53032366974,87645.53032366974,0,1,0,0,Moderate,83.33333333333334,4.77623271290212,64.42504564183764,79.19249069680124,1,0.0,1.0,0.8644708462096633,1.0,0.16730017881017414,1.0,0.75,96.61177115524158,49.490712038300124,1,3,Critical
15,Hemmigepura,Hemmigepura,12.904240028745958,77.49667478945626,1,1,0,1,43.26434615840002,44.03345192870005,73.68019367875438,73.68019367875438,0.6666666666666666,0.0326725924387574,0.7408876204863191,17.733699191402614,2069,62067.947169909145,115269.044744117,0,1,0,0,Moderate,66.66666666666666,3.26725924387574,74.0887620486319,74.90946890846139,2,0.0,0.9468390445580276,0.8185147500734272,1.0,0.16730017881017414,0.7368421052631579,0.75,88.07327263941995,45.33635302072989,2,4,Critical
20,Anjanapura,"Anjanapura, Talagattapura",12.866810396454666,77.553523199758,6,6,3,3,38.93456220252503,44.26973965130004,60.88325270542376,73.35157279405811,0.5365079365079366,0.040666895174134,0.7184136542513166,14.406629983711078,10645,319255.6146312163,545142.1843914484,0,5,1,0,Moderate,53.65079365079366,4.066689517413402,71.84136542513167,61.46551564611396,16,0.30122582034293405,0.44540268013419987,0.8073832121223199,0.5,0.3346003576203483,0.5313283208020052,0.6916666666666668,56.12725392446609,44.9406173612889,13,5,Critical
29,Dharmaraya Swamy Temple Ward,"Dharmaraya Swamy Temple Ward, SilverJubilee Park Ward, Ashokanagar",12.964127440412026,77.58886140075639,3,3,1,2,39.77979439910002,44.7377691299,64.02706428346312,71.6803732656872,0.5555555555555555,0.0284494835650548,0.7171336406997094,15.493507634995009,5425,162681.83016744757,302123.3988824027,0,3,0,0,Moderate,55.55555555555555,2.8449483565054803,71.71336406997094,64.51005002175799,12,0.16666666666666669,0.5685900458812894,0.750773842966954,0.6666666666666666,0.2651645097780702,0.5614035087719297,0.75,62.74101808486402,42.29686463057603,7,6,Major
1,Shyanumangala,Shyanumangala,12.805425799496946,77.4505814838062,1,1,0,1,43.99416178880004,47.86240338320003,70.02236619220076,70.02236619220076,0.6666666666666666,0.0513858944177627,0.1858265607152134,16.408105552561526,4649,139468.897196773,24612.158328842284,0,1,0,0,Moderate,66.66666666666666,5.13858944177627,18.58265607152134,72.34898966787387,3,0.0,0.8035104381067298,0.6946113483684221,1.0,0.16730017881017414,0.7368421052631579,0.75,79.2425433387429,41.23074687465388,3,7,Major
42,Hyarandahalli,"Hyarandahalli, Hulimangala, Kittaganahalli, Bandenallasandra, Electronics City Phase 1, Thirupalya, Hebbagodi, Hosahalli",12.814408911246858,77.66853697195151,14,14,12,2,37.2902526762286,47.01586236980003,52.99212548547931,74.47621522830951,0.3197278911564626,0.0382579125265182,0.6252465732363726,11.98503382461766,27689,830502.1621320734,847402.5733143992,0,3,6,5,Limited,31.97278911564626,3.825791252651821,62.52465732363726,50.28863952724375,44,0.4844817659347531,0.13619611642329454,0.8454787821889219,0.14285714285714285,0.2651645097780702,0.18904403866809885,0.4035714285714286,32.50855212787395,36.94260799635438,38,8,Major
69,Sulikunte,"Sulikunte, Dommasandra, Gunjur, Heggondahalli, Mulluru, Panathur, Kachamaranahalli, Halasahalli",12.902858011553665,77.73777823439508,13,13,10,3,37.510326401207706,47.46545163050004,53.06885729719662,65.45166832548016,0.3176739926739926,0.0504337893997803,0.477115615993853,12.200639546593049,32385,971328.9227946931,614754.218262403,2,4,4,3,Limited,31.76739926739926,5.043378939978032,47.711561599385305,48.90507502628069,46,0.4678924870096007,0.1392027819055662,0.5397858362483624,0.23076923076923078,0.3346003576203483,0.18580104106419884,0.5538461538461538,26.24031646525415,36.307167712393465,44,9,Major
64,Singena Agrahara,Singena Agrahara,12.832375134746677,77.70870399544657,1,1,0,1,42.35074359260004,44.381286734000014,65.37747797224104,65.37747797224104,0.6666666666666666,0.0284549372736364,0.2779405858600512,16.516852919842684,4680,140393.24981866282,24775.27937976402,0,1,0,0,Moderate,66.66666666666666,2.8454937273636403,27.79405858600512,69.09756791390205,4,0.0,0.6215047644831937,0.537272749676124,1.0,0.16730017881017414,0.7368421052631579,0.75,68.02885142649401,36.01724741526018,4,10,Major
65,Belathur,"Belathur, Kaveri Nagara, Hoodi, Basavanapura, K Dommasandra",13.00305425799497,77.7271413177066,7,7,4,3,37.85304309716431,45.84883071110004,54.93945868197757,61.18626686866379,0.3869047619047619,0.0334086949005722,0.6213326835007008,13.654623056722828,15237,457019.6527591602,498803.96121143794,1,6,0,0,Moderate,38.69047619047619,3.3408694900572224,62.13326835007008,52.04313264786538,39,0.3333333333333333,0.2125005770290682,0.3953017805951583,0.42857142857142855,0.3346003576203483,0.2951127819548872,0.7857142857142857,30.713394663710858,35.70330717563164,40,11,Major
22,Byatarayanadoddi,Byatarayanadoddi,12.805425799496946,77.55198675623635,1,1,0,1,41.28522712790004,45.99496815620003,64.18517585118867,64.18517585118867,0.5714285714285714,0.0368586564436554,0.4738529140595346,16.841371816700534,3930,117889.60271690373,50524.11545010161,1,0,0,0,Strong,57.14285714285714,3.68586564436554,47.38529140595346,66.3581945244035,9,0.0,0.5747855022687872,0.4968853095353448,1.0,0.16730017881017414,0.5864661654135338,1.0,62.14287613740579,35.675228371068016,8,12,Major
