date,latitude,longitude,LST,Predicted_LST,Heat_Class,Heat_Score,Tree_Probability,Tree_Deficit,Built_Probability,Built_Score,L_NDVI,S2_NDVI,Vegetation_Deficit,Distance_To_Water,Water_Distance_Score,Albedo,Albedo_Heat_Score,Cooling_Priority_Score,Cooling_Priority,Canopy_Deficit,Recommended_Canopy_Increase_Percent,Recommendation
2026-01-27,12.955453375646712,77.61850054828501,29.59253960000001,33.031700053700035,Moderate,0.34050310704331493,0.0270653055049479,0.9729346944950521,0.7487957694102079,0.955678216545357,0.175683625667284,0.0903954802259887,0.7154528192364721,4401.136216933078,0.223606797749979,0.10158452,0.7952105996869882,56.029791985194436,Moderate,0.3729346944950521,37.29346944950521,Maintain vegetation and consider targeted local canopy improvement
2026-01-27,13.048673420723118,77.69308129867237,31.284459500000025,30.26426598050004,Low,0.22603837309825695,0.3982093923259526,0.6017906076740474,0.0425779598299413,0.03252523757908315,0.6840789607305507,0.6147620589187439,0.380452472743691,12007.4976577137,0.6100602135197581,0.135784345,0.7200095129861451,32.34142257126783,Low,0.0017906076740474286,0.17906076740474286,Maintain existing vegetation and monitor future heat conditions
2026-01-27,12.946853050708604,77.73514269947206,22.756499599999984,25.175449444100003,Low,0.015558189821223842,0.0357048386940732,0.9642951613059269,0.0256559106055647,0.010405092859167707,-0.0451414909181745,-0.2868217054263566,0.7950912765413352,4841.487374764082,0.24597954593015278,0.0231981624999999,0.9675722789213345,32.791204147784725,Low,0.3642951613059268,36.42951613059268,Maintain existing vegetation and monitor future heat conditions
2026-01-27,12.846813341083896,77.48733962689842,35.28012488000002,34.843848807200004,Moderate,0.4154559765432534,0.0275441131088882,0.9724558868911118,0.622221233905293,0.7902226617186078,0.2218975081789145,0.1643295354951796,0.6982813883431573,1170.4699910719626,0.05946760874136965,0.1730390075,0.6380912252559259,52.90420203606114,Low,0.3724558868911118,37.24558868911118,Maintain existing vegetation and monitor future heat conditions
2026-01-27,12.968017035809511,77.54686615225253,31.08963236,32.585067380300046,Low,0.3220297888793938,0.02829456620384,0.97170543379616,0.7541235315147787,0.962642554446976,0.220278392913635,0.1317284284555044,0.7023252535021167,14698.639392814564,0.7467879938056771,0.1436729125,0.7026635514640335,59.37347666213042,Moderate,0.37170543379616,37.170543379616,Maintain vegetation and consider targeted local canopy improvement
2026-01-27,13.12491467375935,77.72833088418255,32.873838800000044,29.87367174500004,Low,0.2098828788518183,0.6740575201110914,0.32594247988890857,0.0285672532627359,0.014210738384245214,0.5654849852756861,0.5697510568341945,0.26753017622485487,14844.864431849825,0.7542171918849687,0.1026351575,0.7929003807976032,30.767906362283505,Low,0.0,0.0,Maintain existing vegetation and monitor future heat conditions
2026-01-27,13.018899641822768,77.70604202598115,30.453880640000023,33.45095438690003,Moderate,0.3578440208413297,0.0245502061443403,0.9754497938556597,0.7527704933891073,0.9608738916358371,0.1227647651429291,0.0787089467723669,0.7267959952376477,1655.294535724685,0.08409989880394178,0.1385983375,0.7138218996294095,54.875987073465446,Low,0.37544979385565974,37.54497938556597,Maintain existing vegetation and monitor future heat conditions
2026-01-27,13.043881911746013,77.49072872744016,31.47586862000003,33.01061087030003,Moderate,0.33963083052176113,0.028515784186311,0.971484215813689,0.7528953687287867,0.9610371260378313,0.2152465586339084,0.2353143249742356,0.689826521197362,4420.407221060069,0.22458589208150276,0.1257843275,0.7419982858242355,54.912294920429346,Low,0.371484215813689,37.1484215813689,Maintain existing vegetation and monitor future heat conditions
2026-01-27,12.947581777369976,77.51254122256958,30.33766796000004,29.674281548300023,Low,0.20163583656902614,0.6904768720269203,0.3095231279730797,0.0294757034862414,0.015398245295986957,0.6498058754303186,0.707250341997264,0.22809512421834638,8373.768566183327,0.4254427679333422,0.0985846275,0.8018069836154353,26.271282763147287,Low,0.0,0.0,Maintain existing vegetation and monitor future heat conditions
2026-01-27,13.00830473146351,77.45858428300589,35.461279940000054,34.454057806400016,Moderate,0.3993337051465016,0.0305114687653258,0.9694885312346742,0.6515030791051686,0.8284992702368217,0.3595989773347505,0.329175704989154,0.6534152780632281,2080.865204668481,0.1057217004952221,0.15844539,0.6701807431086179,52.4952436470315,Low,0.36948853123467423,36.94885312346742,Maintain existing vegetation and monitor future heat conditions
2026-01-27,12.945588991057392,77.53457234090722,30.488060840000003,31.691716583000005,Low,0.28507961820583766,0.0355201009660959,0.9644798990339041,0.750768527504988,0.9582569641884652,0.3304689823842417,0.2573179033356024,0.6648033079096026,15564.061166674976,0.7907571376852734,0.133084725,0.725945635690847,57.56414962256174,Moderate,0.3644798990339041,36.44798990339041,Maintain vegetation and consider targeted local canopy improvement
2026-01-27,12.904010434344354,77.63470929130749,30.69314204,33.05348993120001,Moderate,0.3414043651997003,0.0267723300494253,0.9732276699505747,0.6581056828144938,0.83713005411187,0.107929803577102,0.066180935033394,0.7296917372998568,5445.181356024793,0.2766511887325905,0.116138895,0.7632073711250997,54.85400445073938,Low,0.3732276699505747,37.32276699505747,Maintain existing vegetation and monitor future heat conditions
2026-01-27,12.934987110675328,77.64032714813052,30.04713626,29.920977141800016,Low,0.21183949263760352,0.6720719073200598,0.32792809267994016,0.0512933195568621,0.04391777141995507,0.6230133776671347,0.6371971185330714,0.2505802115406257,4244.997055358224,0.21567389674391807,0.1264227124999999,0.740594558005935,24.95953611281764,Low,0.0,0.0,Maintain existing vegetation and monitor future heat conditions
2026-01-27,13.100505514669258,77.61054102900039,30.518823020000013,33.89391268880001,Moderate,0.3761653621396637,0.0947449739323929,0.9052550260676071,0.4281862817006185,0.5365842774674596,0.3893671165170737,0.4069230769230769,0.6065517023599565,3820.99463490856,0.19413177243742305,0.12658015,0.7402483728693892,47.60297265966548,Low,0.3052550260676071,30.525502606760714,Maintain existing vegetation and monitor future heat conditions
