Air_Temp,LST,L_NDVI,NDBI,NDWI,Relative_Humidity,S2_NDVI,Wind_Speed,date,sentinel_date,year,longitude,latitude
22.728934860229515,33.03106772000001,0.20553550314269703,-0.01221391994983798,-0.26393827684076604,56.607391693524654,0.0529627687467226,1.786516816837357,2022-02-01,2022-02-02,2022,77.64469395422346,13.03954022773216
22.2791464487712,32.74737206000003,0.5205790937346639,-0.05499531821922087,-0.5325754515551964,60.605557728653146,0.5693595107821049,1.8032393483957845,2022-02-01,2022-02-02,2022,77.70044780070117,12.828791164360611
23.09718030293783,29.21313938000003,0.5838903445448551,-0.03239710708995329,-0.5411337247114526,57.87602135558071,0.4190687361419069,1.6743016044700234,2022-02-01,2022-02-02,2022,77.50722535567941,12.937086923106813
22.52418225606283,31.780072399999995,0.6067369961177479,-0.0848329048843188,-0.6203690507130342,58.75160785976347,0.5347971715668032,1.8086244920709553,2022-02-01,2022-02-02,2022,77.73367819947713,12.895031888917993
22.7674276987712,35.43393578000001,0.32631112613741686,0.033773138612978475,-0.4272541369230575,56.67619673169637,0.17582417582417584,1.781753655889089,2022-02-01,2022-02-02,2022,77.73448510841773,13.057469201304949
22.5940878550212,31.892867060000015,0.277345971563981,0.03374359358048718,-0.30057570620520657,58.302173071870456,0.1794871794871795,1.7857306350795028,2022-02-01,2022-02-02,2022,77.57710156125363,12.887065632836642
22.2791464487712,33.82063033999998,0.1422008120427074,0.01693704951688123,-0.21844230556477487,60.605557728653146,0.05960046227505366,1.8032393483957845,2022-02-01,2022-02-02,2022,77.65687016119207,12.84816103883356
22.7674276987712,34.12825214000003,0.3972107267555064,0.06826584507042244,-0.47134665508253687,56.67619673169637,0.32729155877783533,1.781753655889089,2022-02-01,2022-02-02,2022,77.7192373495562,13.096348353903034
22.7674276987712,29.124270860000024,0.6228258319648782,-0.12907531870988803,-0.5733792554444508,56.67619673169637,0.7307692307692307,1.781753655889089,2022-02-01,2022-02-02,2022,77.74508594687946,13.052851610677632
22.7674276987712,36.60289862000002,0.06635780126441775,0.24447787731655604,-0.14041908956405055,56.67619673169637,-0.03166915052160954,1.781753655889089,2022-02-01,2022-02-02,2022,77.74428298107253,13.060671292535263
22.601981735229515,32.005661720000035,0.20738618000043096,0.00946297889390384,-0.26494954739384646,57.65786013951114,0.1308489773045671,1.8111211260300921,2022-02-01,2022-02-02,2022,77.68514206293692,12.969229895857035
23.09718030293783,29.72242435999999,0.43561690775142553,-0.11617507136060884,-0.40460739002370755,57.87602135558071,0.2605980939861978,1.6743016044700234,2022-02-01,2022-02-02,2022,77.49230084903556,12.908704473572609
22.601981735229515,27.948471980000022,0.45487868192082265,-0.11908198614318698,-0.46617749957450033,57.65786013951114,0.5927140255009108,1.8111211260300921,2022-02-01,2022-02-02,2022,77.71121094182058,13.04648905368594
22.7674276987712,35.48862410000004,0.40641605406078896,0.07801043598589319,-0.4680815252318143,56.67619673169637,0.4013745704467354,1.781753655889089,2022-02-01,2022-02-02,2022,77.66935682811929,13.110954867740574
22.7674276987712,30.402610340000024,0.47299634186897244,-0.11421222431152564,-0.4657577311911577,56.67619673169637,0.5193630112196888,1.781753655889089,2022-02-01,2022-02-02,2022,77.70459836739506,13.052436221648735
23.09718030293783,33.430976060000035,0.40480181133850857,0.06697263384029492,-0.41683163178303184,57.87602135558071,0.2544918208635023,1.6743016044700234,2022-02-01,2022-02-02,2022,77.4657730156676,12.85745068065245
23.3685019175212,34.64437315999999,0.3567299351122523,0.10522317015122112,-0.4425128757581572,59.08342736783304,0.31096196868008946,1.6688389606984804,2022-02-01,2022-02-02,2022,77.51706504699922,12.81427167394506
22.601981735229515,33.400213880000024,0.664006907910517,-0.2069870751481738,-0.6462467371529517,57.65786013951114,0.7016434892541087,1.8111211260300921,2022-02-01,2022-02-02,2022,77.69121305824657,13.045119059898559
22.7674276987712,32.186816780000015,0.5228513262325554,0.006493256509297103,-0.5518962475946121,56.67619673169637,0.5143152811314247,1.781753655889089,2022-02-01,2022-02-02,2022,77.73670419584674,13.117609466911254
22.7674276987712,36.900266360000046,0.26906313137045706,0.0432070240295748,-0.3253241980986701,56.67619673169637,0.17722419928825622,1.781753655889089,2022-02-01,2022-02-02,2022,77.6612392283662,13.131623785731131
22.7674276987712,32.56963502000002,0.3568975152744375,0.008629588339733265,-0.42387422411407333,56.67619673169637,0.27128082736674625,1.781753655889089,2022-02-01,2022-02-02,2022,77.67269208784116,13.056811480190117
22.941581344604515,28.389396560000023,0.6595134093845874,-0.21472506557110702,-0.6271618564954801,55.44281673327337,0.7110016420361248,1.7533217640253604,2022-02-01,2022-02-02,2022,77.57627324156668,13.07262510814044
22.601981735229515,31.240025240000023,0.2861864952844793,0.007811087871510831,-0.3283723985341908,57.65786013951114,0.10395314787701318,1.8111211260300921,2022-02-01,2022-02-02,2022,77.65363267298345,13.020068832319204
23.3685019175212,32.08085816000005,0.6069695350080171,-0.06573844986849472,-0.5530967508652305,59.08342736783304,0.5462892119357307,1.6688389606984804,2022-02-01,2022-02-02,2022,77.48208205567647,12.812830618315926
22.7674276987712,30.73415828000003,0.5333213926509693,-0.1290625301186484,-0.5246563050134601,56.67619673169637,0.5980696311616683,1.781753655889089,2022-02-01,2022-02-02,2022,77.68991782226121,13.065031613844347
23.3685019175212,29.26440968000003,0.5029529287013433,0.018711342805921977,-0.49820793548567766,59.08342736783304,0.40841173215273935,1.6688389606984804,2022-02-01,2022-02-02,2022,77.4991598635535,12.846454956136466
22.5940878550212,32.50469264000003,0.18850410567654416,0.022212431618753897,-0.2190232068476222,58.302173071870456,0.08435802116099514,1.7857306350795028,2022-02-01,2022-02-02,2022,77.5947464845618,12.882421512717869
22.52418225606283,35.84409818000006,0.3830616967136896,0.09930006900728097,-0.48909188274647064,58.75160785976347,0.3073516386182462,1.8086244920709553,2022-02-01,2022-02-02,2022,77.74782039097347,12.867357030891322
