Grid_ID,Grid_X,Grid_Y,Center_Latitude,Center_Longitude,South_Latitude,North_Latitude,West_Longitude,East_Longitude,Historical_Samples,Historical_Unique_Dates,Observation_Support,Prediction_Dates,Mean_Predicted_LST,Median_Predicted_LST,Minimum_Predicted_LST,Maximum_Predicted_LST,LST_StdDev,Hot_Frequency,Very_Hot_Frequency,Median_L_NDVI,Median_S2_NDVI,Median_NDBI,Median_NDWI,Median_Tree_Probability,Median_Built_Probability,Median_Albedo,Elevation,Distance_To_Water,Persistent_Heat_Score,Persistent_Cooling_Priority,Prediction_Source
8401_1424,8401,1424,12.796442687747035,77.4505814838062,12.79195113187208,12.80093424362199,77.44597215324119,77.4551908143712,1,1,Limited,7,39.542373847014304,38.0232910112,33.734889308300005,47.46285393530002,5.002269946825204,0.2857142857142857,0.14285714285714285,0.3642067720632946,0.2919091541395153,0.0995445656498743,-0.4662000788719663,0.2174207968885196,0.0899918687278114,0.1393756460894041,753.5899284146644,6042.669080967167,43.42324047691301,High,Limited historical support + V5
8401_1425,8401,1425,12.805425799496946,77.4505814838062,12.80093424362199,12.8099173553719,77.44597215324119,77.4551908143712,3,3,Moderate,7,38.11691302044289,38.07721027669999,32.29716755570003,45.592205769500076,5.016266142354031,0.2857142857142857,0.14285714285714285,0.4879159824076283,0.442990947857127,0.003318470630821,-0.549158517595705,0.2530133309866909,0.0964286428664251,0.1435752984152861,728.606466642083,7018.755383167377,43.70499690134053,High,Historical support + V5
8401_1426,8401,1426,12.814408911246856,77.4505814838062,12.8099173553719,12.81890046712181,77.44597215324119,77.4551908143712,2,2,Limited,7,38.72636307654289,37.43142666800003,32.89556031710002,45.348039510800064,4.567291132893971,0.2857142857142857,0.14285714285714285,0.442239703183348,0.3820972084965249,0.0462792869195587,-0.5257241978451939,0.1621212369032614,0.1836609708048842,0.1490550539316293,727.553315275582,5598.547150741541,41.97368589670404,Moderate,Limited historical support + V5
8401_1427,8401,1427,12.823392022996766,77.4505814838062,12.81890046712181,12.827883578871722,77.44597215324119,77.4551908143712,0,0,Prediction Only,7,38.34703121694288,37.99167432619998,32.56785764960002,45.249361273400034,4.696673622062758,0.2857142857142857,0.14285714285714285,0.4742449716585261,0.4195600928061594,0.0155364184685181,-0.533563300745004,0.1908608601700713,0.14823719360896,0.1456058777955465,729.6933230749603,5685.835997862472,43.87822334105667,High,V5 prediction only
8401_1428,8401,1428,12.832375134746677,77.4505814838062,12.827883578871722,12.836866690621632,77.44597215324119,77.4551908143712,0,0,Prediction Only,7,38.18138664341432,38.28273581929998,32.87494965650003,45.12299707400005,4.840056341670859,0.2857142857142857,0.14285714285714285,0.4584195370589583,0.4199701445258207,0.0002071321153656,-0.5237346032503071,0.161445720677193,0.244065156050253,0.1484212474154676,743.8025888934986,7392.916797876502,46.009988436429616,Very High,V5 prediction only
8401_1429,8401,1429,12.841358246496586,77.4505814838062,12.836866690621632,12.84584980237154,77.44597215324119,77.4551908143712,2,2,Limited,7,38.52432635578573,37.925279287699986,32.90126841050003,45.140035903700024,4.656976804057585,0.2857142857142857,0.14285714285714285,0.4112010797165323,0.3554586969496968,0.0294722170862368,-0.4917071822300972,0.1032155216397885,0.3658788148473891,0.1544629674791438,755.1063342480509,9948.568541391916,45.786951745638774,Very High,Limited historical support + V5
8401_1430,8401,1430,12.850341358246496,77.4505814838062,12.84584980237154,12.854832914121452,77.44597215324119,77.4551908143712,2,2,Limited,7,38.45553137895717,37.609932762499994,33.117150553700014,45.76406381510006,5.05683366117992,0.2857142857142857,0.14285714285714285,0.3861674672598762,0.3226566450945431,0.0534704475220884,-0.475591653976843,0.0842897837489644,0.4198261423982625,0.1592249072587537,768.2719703256097,12433.245946957732,45.05502851418059,Very High,Limited historical support + V5
8401_1431,8401,1431,12.859324469996409,77.4505814838062,12.854832914121452,12.863816025871362,77.44597215324119,77.4551908143712,5,4,Moderate,7,38.57007411204287,37.433238218599996,32.78820030890002,45.16970431730001,4.704879337631442,0.2857142857142857,0.14285714285714285,0.3838257057815465,0.3145041488084964,0.0293545607215931,-0.4464990860294894,0.0716153798147754,0.508697015261617,0.1636676040524983,770.0196933748985,12888.687205730706,45.23135004979815,Very High,Historical support + V5
8401_1432,8401,1432,12.868307581746317,77.4505814838062,12.863816025871362,12.872799137621271,77.44597215324119,77.4551908143712,2,2,Limited,7,38.07797688975716,37.88313510109998,32.68429250090003,44.834533276100025,4.927001764670939,0.2857142857142857,0.14285714285714285,0.3606682169316769,0.3110814363045003,0.0145581090735587,-0.4241945548611053,0.0647306366284763,0.5640486703511831,0.1486340233090501,760.4096456476475,13348.67451170104,47.59873572306015,Very High,Limited historical support + V5
8401_1433,8401,1433,12.877290693496228,77.4505814838062,12.872799137621271,12.881782249371184,77.44597215324119,77.4551908143712,3,2,Limited,7,38.491252129400024,37.3534445417,32.84129924960003,45.94632973160001,5.039723545711817,0.2857142857142857,0.14285714285714285,0.3170833317571587,0.2789701536412056,0.0559922750174478,-0.4051256979070787,0.0645134793797761,0.5525895666860274,0.1500156786402096,760.7685926377806,13059.505735621718,45.34856787430518,Very High,Limited historical support + V5
8401_1434,8401,1434,12.886273805246136,77.4505814838062,12.881782249371184,12.890765361121092,77.44597215324119,77.4551908143712,1,1,Limited,7,38.443441353928606,37.33179138500001,32.808520437800034,44.76673684940002,4.640049761794561,0.2857142857142857,0.14285714285714285,0.3151313682696669,0.2747994241004294,0.0429735378409632,-0.3935182126917723,0.0662735401421545,0.5276394449750628,0.1510781052999409,761.8207517058432,10401.215487858648,45.01176666942584,Very High,Limited historical support + V5
8401_1435,8401,1435,12.895256916996049,77.4505814838062,12.890765361121092,12.899748472871002,77.44597215324119,77.4551908143712,2,2,Limited,7,39.13430132210002,37.77541620079999,33.30821787170002,47.29297834130004,5.154934594205057,0.2857142857142857,0.2857142857142857,0.2725599618488119,0.2275780900866214,0.0805938264194099,-0.3724125172969047,0.0511932209464974,0.4903244735956257,0.1689456146294227,767.4567538717423,7718.411749874573,48.570055852653276,Very High,Limited historical support + V5
8401_1436,8401,1436,12.904240028745958,77.4505814838062,12.899748472871002,12.908731584620911,77.44597215324119,77.4551908143712,4,3,Moderate,7,39.01580589302859,37.4650428947,33.10098331910003,47.145217336700036,5.167322639455608,0.2857142857142857,0.2857142857142857,0.2929017612625231,0.2628492267689799,0.0781313655014384,-0.3926170771294449,0.0797508126877218,0.4995455330930117,0.1678083446277778,782.3788504230774,5739.527587347212,47.41092068765391,Very High,Historical support + V5
8401_1437,8401,1437,12.913223140495868,77.4505814838062,12.908731584620911,12.917714696370822,77.44597215324119,77.4551908143712,2,2,Limited,7,38.851299031871456,36.9094437437,33.133710860600026,47.33013221870003,5.321925305123669,0.2857142857142857,0.14285714285714285,0.2860271339576489,0.2465080905974394,0.0786796705390334,-0.3839949419599998,0.05804356097856,0.568152163032257,0.1621422044774747,792.2145000212788,5167.052199577486,43.71409621956885,High,Limited historical support + V5
8401_1438,8401,1438,12.922206252245775,77.4505814838062,12.917714696370822,12.926697808120734,77.44597215324119,77.4551908143712,3,2,Limited,7,39.3289868584143,37.6436686199,33.554605843400026,47.55452523170003,5.31060618419574,0.2857142857142857,0.2857142857142857,0.293774904191875,0.2416188606923269,0.0952708144148451,-0.406587612584889,0.0848480645571718,0.4825060020717739,0.1577691503683408,800.8237781388119,5400.402807166852,47.96069859935885,Very High,Limited historical support + V5
8401_1439,8401,1439,12.931189363995689,77.4505814838062,12.926697808120734,12.935680919870643,77.44597215324119,77.4551908143712,1,1,Limited,7,38.22537167792859,36.92285947219998,32.10570716540001,45.035427401600046,4.849219459184426,0.2857142857142857,0.14285714285714285,0.3847770143271251,0.3269544108752715,0.0412570447921668,-0.4539111454070615,0.1772327958438607,0.3187760109027088,0.1415818678437964,804.4818753946685,4915.648476777828,41.27442348311878,Moderate,Limited historical support + V5
8401_1440,8401,1440,12.940172475745598,77.4505814838062,12.935680919870643,12.944664031620553,77.44597215324119,77.4551908143712,1,1,Limited,7,38.641657216614306,37.06152854360001,32.665066138400036,46.142797521200045,5.1074433810285464,0.2857142857142857,0.14285714285714285,0.3460702756194704,0.3017123207215708,0.0638347117358625,-0.4386103411979699,0.1056450319608915,0.4210238917872539,0.1540124905601805,808.7707124104165,3742.0790446236806,42.85598050882593,High,Limited historical support + V5
8401_1441,8401,1441,12.94915558749551,77.4505814838062,12.944664031620553,12.953647143370464,77.44597215324119,77.4551908143712,4,3,Moderate,7,38.86264197538573,37.2028978508,32.566199909900064,47.28084437030002,5.399964330512806,0.2857142857142857,0.14285714285714285,0.3251390183975958,0.2862137115148008,0.0819898252595935,-0.4397899811410395,0.0861622222330011,0.385972699512678,0.1601408539802982,825.774186796462,2284.244914655661,43.07543346282142,High,Historical support + V5
